name,date,year,director,prod,composer,cast_mem
Adhurs,January,2010.0,V.V. Vinayak,"Annapurna Studios, Vaishnavi Arts",Devi Sri Prasad,"N.T. Rama Rao Jr., Nayanthara, Sheela Kaur, Brahmanandam, Mahesh Manjrekar, Nassar, Vinaya Prasad, Ashish Vidyarthi, Sayaji Shinde, Tanikella Bharani"
Sambo Siva Sambho,January,2010.0,Samuthirakani,Sri Saiganesh Productions,Sundar.C. Babu,"Ravi Teja, Allari Naresh, Siva Balaji, Roja, Sunil, Priyamani, Aahuthi Prasad, Sudha, Tanikella Bharani, Krishna Bhagavan"
Namo Venkatesa,January,2010.0,Sreenu Vaitla,"14 Reels Entertainment, Aditya Music, Suresh Productions",Devi Sri Prasad,"Venkatesh Daggubati, Trisha Krishnan, Brahmanandam, Mukesh Rishi, Kota Srinivasa Rao, Jayaprakash Reddy, Jeeva, Mohammad Ali, Jai Akash, Aravind"
Om Shanti,January,2010.0,Prakash Dantuluri,"Goldmines Telefilms, Three Angels Studio",Ilaiyaraaja,"Kajal Aggarwal, Madhavan, Nikhil Siddharth, Navdeep, Aditi Sharma, Bindhu Madhavi, Murali Mohan, Raghu Babu, Ravi Kale, Tanikella Bharani"
Seetharamula Kalyanam Lankalo,January,2010.0,"G. Eshwar Reddy, Y. Eshwara Reddy",Wellfare Creations,Chinna,"Nithiin, Hansika Motwani, Suman, Saleem Baig, Chandramohan, Pragathi, Jayaprakash Reddy, Brahmanandam, Mohammad Ali, Subbaraju"
Maa Nanna Chiranjeevi,January,2010.0,Arun Prasad,Laughing Lord Entertainments,Hemachandra Vedala,"Jagapathi Babu, Mohammad Ali, Alutit, Neelima Azim, Brahmanandam, Jhansi, M.S. Narayana, Satyam Rajesh, Jayaprakash Reddy, Telangana Sakuntala"
Ye Maaya Chesave,February,2010.0,Gautham Vasudev Menon,Indira Productions,A.R. Rahman,"Naga Chaitanya Akkineni, Samantha Ruth Prabhu, Krishnudu, Sanjay Swaroop, Devan, Lakshmy Ramakrishnan, Puri Jagannadh, Sudheer Babu Posani, Surekha Vani, Sapan Saran"
Leader,February,2010.0,Sekhar Kammula,A.V.M. Productions,Mickey J. Meyer,"Rana Daggubati, Richa Langella, Priya Anand, Joy Badlani, Tanikella Bharani, Sravanthi Chokkarapu, Vishwas Hannurkar, Harshavardhan, Aahuthi Prasad, Rao Ramesh"
Kedi,February,2010.0,Kiran Kumar,"Kamakshi Studio, Annapurna Studios",Sandeep Chowta,"Nagarjuna Akkineni, Mamta Mohandas, Sayaji Shinde, Ankur Vikal, Linda Arsenio, Harshavardhan, Brahmanandam, Akhilendra Mishra, Anushka Shetty, Nirmal Pandey"
Bindaas,February,2010.0,Veeru Potla,"A.K. Entertainments India, AK Entertainments",Chinna,"Manoj Kumar Manchu, Sheena Shahabadi, Raghu Babu, Banerjee, Benerjee, Bhanuchander, Brahmanandam, Rashmi Gautam, Vajja Venkata Giridhar, Jeeva"
