nizam,ceded,vizag,east,west,krishna,guntur,nellore,WW,Devi Sri Prasad,S. Thaman,January,Jagapathi Babu,April,August,Prakash Raj,December,September,Mythri Movie Makers,Sri Venkateswara Creations,March,May,October,Mahesh Babu,Vennela Kishore,Goldmines Telefilms,Nandamuri Balakrishna,Kajal Aggarwal,Anup Rubens,Samantha Ruth Prabhu,Nani,Rajendra Prasad,Naga Chaitanya Akkineni,Pooja Hegde,Shruti Haasan,M.M. Keeravani,Murli Sharma,Gopi Sundar,Keerthy Suresh,Prabhas,February,July,November,Tamannaah Bhatia,Allu Arjun,Vijay Deverakonda,Tanikella Bharani,Sathyaraj,Sithara Entertainments,Chiranjeevi,Sai Dharam Tej,Anupama Parameswaran,Anil Ravipudi,Rashmika Mandanna,Rao Ramesh,N.T. Rama Rao Jr.,Mickey J. Meyer,Ram Charan,Nassar
3.65,1.2,1.1,0.63,0.48,0.76,0.7,0.23,9.68,0,0,False,0,False,False,0,False,False,0,0,True,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12.9,4.2,4.22,2.39,1.98,2.2,2.5,0.98,47.44,0,0,False,0,False,False,0,False,False,0,0,False,False,False,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
12.54,6.65,4.91,3.43,3.3,2.93,3.89,2.17,47.82,0,0,False,0,True,False,0,False,False,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,False,False,False,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
39.12,10.25,10.6,5.38,4.48,4.66,6.81,2.65,191.2,0,0,False,0,False,False,0,False,False,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.3,5.25,5.5,4.23,2.74,3.27,5.09,2.25,57.61,0,0,True,0,False,False,0,False,False,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.0,14.8,6.3,4.1,3.55,3.57,4.8,2.6,70.02,0,1,False,1,False,False,0,True,False,0,0,False,False,False,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41.55,19.3,20.21,11.2,9.0,9.5,10.7,4.45,160.93,0,1,True,0,False,False,0,False,False,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,False,False,False,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.45,0.55,0.56,0.37,0.28,0.5,0.48,0.22,7.5,0,0,False,0,False,False,0,True,False,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21.0,13.75,8.3,5.55,4.2,4.89,7.85,2.56,89.06,0,1,False,1,False,False,0,False,False,0,0,False,False,True,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8.2,2.2,1.54,1.1,0.7,1.14,1.15,0.47,25.05,0,0,False,0,False,True,0,False,False,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
43.37,21.68,9.68,8.9,7.11,6.78,9.48,4.24,311.02,0,0,False,0,False,False,0,False,False,0,0,False,True,False,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,False,False,False,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
66.6,34.7,26.47,17.05,12.35,14.0,18.02,8.03,813.67,0,0,False,0,False,False,0,False,False,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,False,False,False,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12.05,4.15,4.4,1.9,1.4,1.58,1.45,1.05,31.43,0,0,False,0,False,False,0,False,False,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,True,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.0,5.7,4.02,3.52,2.45,1.87,2.47,1.55,29.78,0,0,True,0,False,False,0,False,False,0,0,False,False,False,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.6,12.25,5.7,2.87,2.21,2.75,4.27,2.1,58.65,0,1,False,0,False,False,0,False,False,0,0,False,False,True,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
20.6,10.25,9.15,7.3,4.5,5.85,8.35,2.65,98.25,1,0,False,0,True,False,1,False,False,0,0,False,False,False,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32.3,10.5,7.48,5.5,5.2,3.86,5.38,2.58,94.46,0,1,False,0,False,False,0,False,False,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,False,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7.6,2.85,2.53,1.42,1.16,1.3,1.57,0.6,23.8,0,0,False,0,False,False,0,False,False,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,False,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
6.38,2.8,2.84,1.81,2.1,1.49,2.58,1.11,24.53,0,0,False,0,False,True,0,False,False,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,False,False,False,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
11.35,7.05,3.95,1.86,1.44,1.55,2.07,0.88,35.05,0,0,False,0,False,True,0,False,False,0,0,False,False,False,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.91,3.05,2.35,2.62,2.67,1.79,2.93,1.02,35.44,0,0,False,0,False,False,0,False,False,0,0,False,True,False,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,False,False,False,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
12.4,5.7,3.4,3.1,2.5,2.25,3.7,1.35,40.4,0,1,True,0,False,False,1,False,False,0,0,False,False,False,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.5,2.15,1.91,1.11,0.8,0.82,0.95,0.51,14.85,1,0,False,0,True,False,0,False,False,1,0,False,False,False,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
25.85,4.77,4.6,2.21,1.45,2.12,2.45,1.02,63.58,0,0,False,0,False,False,0,False,False,0,0,True,False,False,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.78,1.15,1.68,1.34,0.89,0.77,1.06,0.52,21.44,0,0,False,0,False,False,0,False,False,1,0,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,True,False,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
46.4,27.1,15.8,7.85,6.31,7.8,10.0,5.3,207.01,0,0,False,0,False,False,0,False,True,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
15.65,6.95,4.51,1.9,1.3,1.84,1.75,1.0,40.65,0,0,False,0,False,False,0,True,False,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
17.5,7.6,4.4,3.0,2.9,3.05,4.2,1.75,57.0,0,1,False,0,False,False,1,False,True,0,0,False,False,False,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.16,10.3,7.11,4.8,4.02,4.03,5.44,2.35,72.3,1,0,False,0,False,False,0,False,False,0,1,False,False,False,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,False,False,False,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5.2,1.75,1.45,0.9,0.85,1.0,1.1,0.45,16.53,0,0,False,0,False,False,0,False,False,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3.62,0.82,1.11,0.57,0.33,0.66,0.51,0.21,10.3,0,0,False,0,False,True,0,False,False,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22.85,8.8,10.32,7.35,4.28,5.2,5.58,2.05,82.3,1,0,True,0,False,False,1,False,False,0,1,False,False,False,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
18.15,7.0,6.7,3.6,2.7,2.5,3.3,1.82,55.65,1,0,False,0,False,False,0,False,False,0,1,False,True,False,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,False,False,False,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
18.0,4.31,4.6,2.4,1.81,2.25,2.55,1.07,47.77,0,0,False,0,False,False,0,False,False,0,1,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,True,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19.5,9.3,5.5,3.75,3.43,3.18,4.35,2.05,60.16,1,0,False,0,False,False,0,False,False,0,0,False,True,False,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.5,3.75,2.65,1.5,1.47,1.47,1.7,0.96,25.34,0,0,False,0,False,False,0,False,True,0,0,False,False,False,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
9.75,7.5,5.1,3.6,3.48,2.92,4.45,1.88,50.89,0,0,True,0,False,False,0,False,False,0,0,False,False,False,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19.3,6.75,6.0,4.1,3.15,3.67,3.76,1.65,68.28,0,0,False,0,False,True,0,False,False,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,False,False,False,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
12.95,9.5,6.1,3.85,6.1,3.85,2.4,3.14,2.3,0,1,False,0,False,False,0,False,False,0,0,False,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3.25,0.6,1.05,0.55,0.3,0.68,0.43,0.2,10.34,0,0,False,1,False,True,1,False,False,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23.7,9.3,10.5,7.8,5.08,5.31,7.04,3.09,77.47,0,1,True,0,False,False,0,False,False,0,0,False,False,False,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
6.6,1.61,2.55,1.56,0.87,1.45,1.35,0.55,18.52,0,0,False,0,False,False,0,False,False,0,0,True,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
32.95,12.7,10.6,6.65,4.5,4.12,5.18,2.13,145.98,0,0,True,0,False,False,0,False,False,0,0,False,False,False,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.5,2.15,1.35,0.77,0.7,1.0,1.2,0.54,17.62,0,0,False,1,False,False,0,True,False,0,0,False,False,False,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.6,2.85,2.9,1.42,0.95,1.26,1.55,0.63,20.98,1,0,False,0,False,False,1,False,False,0,1,False,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10.9,1.95,2.05,1.25,0.75,1.35,1.25,0.55,35.55,0,0,False,0,False,False,0,True,False,0,0,False,False,False,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4.95,1.0,1.11,0.55,0.34,0.62,0.69,0.35,14.76,0,0,False,0,False,False,0,True,False,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
3.35,1.9,1.38,0.7,0.62,0.75,1.06,0.35,11.34,0,0,False,1,False,False,0,False,False,0,0,False,False,True,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14.0,5.57,3.85,2.05,1.75,2.05,1.83,1.03,35.31,0,0,False,0,False,False,0,False,False,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,True,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.8,11.6,7.14,5.6,3.7,4.7,6.05,2.4,73.54,1,0,False,0,False,False,0,False,True,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4.36,5.6,3.75,2.55,2.1,1.67,2.5,1.31,27.47,0,0,True,0,False,False,1,False,False,0,0,False,False,False,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.95,11.7,7.41,4.7,4.05,4.41,5.75,2.32,80.05,1,0,False,0,False,False,0,False,True,1,0,False,False,False,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
11.9,3.05,3.1,1.44,1.27,1.38,1.63,0.65,28.45,0,0,False,0,False,False,0,False,False,0,0,True,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.49,4.3,3.04,1.68,1.3,1.35,1.72,0.95,21.73,1,0,False,1,False,True,0,False,False,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
